rf,cell_type,animalids,condition,stats
26048.02688452169,ON_BT,1,WT,mesopic_rfsize
26618.378048794573,ON_BT,2,WT,mesopic_rfsize
26428.97461916302,ON_BT,3,WT,mesopic_rfsize
27298.10632847606,ON_BT,4,WT,mesopic_rfsize
0.26021890528453845,ON_BT,1,WT,mesopic_rfspeed
0.28657385566257415,ON_BT,2,WT,mesopic_rfspeed
0.2497516846813251,ON_BT,3,WT,mesopic_rfspeed
0.27643078377130276,ON_BT,4,WT,mesopic_rfspeed
4.214026823601742,ON_BT,1,WT,mesopic_rfsnr
5.054738904459673,ON_BT,2,WT,mesopic_rfsnr
3.8274396626788567,ON_BT,3,WT,mesopic_rfsnr
4.832687201735236,ON_BT,4,WT,mesopic_rfsnr
24757.910393947735,ON_BT,5,1M,mesopic_rfsize
26585.957373044836,ON_BT,6,1M,mesopic_rfsize
27035.86798617422,ON_BT,7,1M,mesopic_rfsize
0.31119428208981553,ON_BT,5,1M,mesopic_rfspeed
0.3360153698978745,ON_BT,6,1M,mesopic_rfspeed
0.3540144263100287,ON_BT,7,1M,mesopic_rfspeed
4.185768304049527,ON_BT,5,1M,mesopic_rfsnr
6.903375078778703,ON_BT,6,1M,mesopic_rfsnr
3.781736037335948,ON_BT,7,1M,mesopic_rfsnr
25402.4191035376,ON_BT,9,2M,mesopic_rfsize
26772.98162322513,ON_BT,10,2M,mesopic_rfsize
26202.570667023327,ON_BT,11,2M,mesopic_rfsize
0.3295689885780247,ON_BT,9,2M,mesopic_rfspeed
0.3130890051328391,ON_BT,10,2M,mesopic_rfspeed
0.33563397828187747,ON_BT,11,2M,mesopic_rfspeed
4.077181295949042,ON_BT,9,2M,mesopic_rfsnr
3.848939141924728,ON_BT,10,2M,mesopic_rfsnr
3.115923637721558,ON_BT,11,2M,mesopic_rfsnr
25225.45989603851,ON_BT,13,3M,mesopic_rfsize
26402.999491019425,ON_BT,14,3M,mesopic_rfsize
28116.397640330422,ON_BT,15,3M,mesopic_rfsize
0.2932123293139152,ON_BT,13,3M,mesopic_rfspeed
0.3193970951516198,ON_BT,14,3M,mesopic_rfspeed
0.37038174756594466,ON_BT,15,3M,mesopic_rfspeed
2.964925328289778,ON_BT,13,3M,mesopic_rfsnr
4.488297810870696,ON_BT,14,3M,mesopic_rfsnr
4.863223321811851,ON_BT,15,3M,mesopic_rfsnr
24835.828462694466,ON_BT,17,4M,mesopic_rfsize
25580.461096936237,ON_BT,18,4M,mesopic_rfsize
26120.432789300863,ON_BT,19,4M,mesopic_rfsize
0.4905730491214858,ON_BT,17,4M,mesopic_rfspeed
0.5721012523633611,ON_BT,18,4M,mesopic_rfspeed
0.4784520811200784,ON_BT,19,4M,mesopic_rfspeed
1.780465670597331,ON_BT,17,4M,mesopic_rfsnr
3.3033129146945868,ON_BT,18,4M,mesopic_rfsnr
2.6695229633592525,ON_BT,19,4M,mesopic_rfsnr
26482.759543120985,ON_BT,21,5M,mesopic_rfsize
25823.560205313563,ON_BT,22,5M,mesopic_rfsize
26725.359131275098,ON_BT,23,5M,mesopic_rfsize
0.30231543887847123,ON_BT,21,5M,mesopic_rfspeed
0.2954681742577418,ON_BT,22,5M,mesopic_rfspeed
0.2734777091316467,ON_BT,23,5M,mesopic_rfspeed
0.5212165800320916,ON_BT,21,5M,mesopic_rfsnr
1.5024995758495217,ON_BT,22,5M,mesopic_rfsnr
2.930331366942019,ON_BT,23,5M,mesopic_rfsnr
21228.49317255661,population,25,WT,mesopic_rfsize
22275.883806064794,population,26,WT,mesopic_rfsize
24315.26990263779,population,27,WT,mesopic_rfsize
19285.25753787301,population,28,WT,mesopic_rfsize
0.2596024813296621,population,25,WT,mesopic_rfspeed
0.28882907755208514,population,26,WT,mesopic_rfspeed
0.28931349429799774,population,27,WT,mesopic_rfspeed
0.26062330985802534,population,28,WT,mesopic_rfspeed
5.2911952377459395,population,25,WT,mesopic_rfsnr
6.388863162554237,population,26,WT,mesopic_rfsnr
5.649010028360396,population,27,WT,mesopic_rfsnr
6.47787595275423,population,28,WT,mesopic_rfsnr
20688.074439889864,population,29,1M,mesopic_rfsize
21564.872326562552,population,30,1M,mesopic_rfsize
21579.404828939932,population,31,1M,mesopic_rfsize
0.3520929260067893,population,29,1M,mesopic_rfspeed
0.39225933497451115,population,30,1M,mesopic_rfspeed
0.40546156528846344,population,31,1M,mesopic_rfspeed
4.633354508229286,population,29,1M,mesopic_rfsnr
5.875221586422853,population,30,1M,mesopic_rfsnr
5.248715045712082,population,31,1M,mesopic_rfsnr
18928.77037429585,population,33,2M,mesopic_rfsize
19432.625943465195,population,34,2M,mesopic_rfsize
19253.81496242444,population,35,2M,mesopic_rfsize
0.33231543887847126,population,33,2M,mesopic_rfspeed
0.3254681742577418,population,34,2M,mesopic_rfspeed
0.30347770913164673,population,35,2M,mesopic_rfspeed
2.5212165800320916,population,33,2M,mesopic_rfsnr
3.5024995758495217,population,34,2M,mesopic_rfsnr
4.930331366942019,population,35,2M,mesopic_rfsnr
21796.369879417456,population,37,3M,mesopic_rfsize
22581.912854548595,population,38,3M,mesopic_rfsize
24111.45242697834,population,39,3M,mesopic_rfsize
0.26894775984869335,population,37,3M,mesopic_rfspeed
0.31464893432612084,population,38,3M,mesopic_rfspeed
0.32589669965435547,population,39,3M,mesopic_rfspeed
2.706476069660519,population,37,3M,mesopic_rfsnr
3.533845663262484,population,38,3M,mesopic_rfsnr
4.1338142103342905,population,39,3M,mesopic_rfsnr
20622.921964859434,population,41,4M,mesopic_rfsize
23884.050094534443,population,42,4M,mesopic_rfsize
20138.083244803136,population,43,4M,mesopic_rfsize
0.46341397011791996,population,41,4M,mesopic_rfspeed
0.5090993874408376,population,42,4M,mesopic_rfspeed
0.4900856889007776,population,43,4M,mesopic_rfspeed
2.9856329526008216,population,41,4M,mesopic_rfsnr
2.436300171094637,population,42,4M,mesopic_rfsnr
3.187799276062582,population,43,4M,mesopic_rfsnr
21569.463166354137,population,45,5M,mesopic_rfsize
21364.045227732255,population,46,5M,mesopic_rfsize
20704.331273949403,population,47,5M,mesopic_rfsize
0.2556364974009627,population,45,5M,mesopic_rfspeed
0.28507498727548564,population,46,5M,mesopic_rfspeed
0.32790994100826054,population,47,5M,mesopic_rfspeed
1.7737443104638417,population,45,5M,mesopic_rfsnr
2.646569838387327,population,46,5M,mesopic_rfsnr
4.346058252198157,population,47,5M,mesopic_rfsnr
